dataset,variant,balanced_accuracy,recall,specificity,false_alarm_rate,precision,f1_score,roc_auc,average_precision,chlorine_rmse,chlorine_mae,chlorine_r2
weak,GRASP selected,0.6667002312340504,0.7047970479704797,0.628603414497621,0.371396585502379,0.12582345191040845,0.21352711011738404,0.7329747604780833,0.18664845637180869,0.04264989314291599,0.017259638756513596,0.9364054203033447
strong,GRASP selected,0.6356535177647887,0.4573170731707317,0.8139899623588457,0.1860100376411543,0.335946248600224,0.3873466752743706,0.6889890060287052,0.4468577674901519,0.05637412846022664,0.031539272516965866,0.8686657547950745
